,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,year,Seasons,Landmarks
426,Yuzvendra Chahal,144,143,523.5,4022,187,22.488999999999997,7.68,17.802,6,1,2023,10,8
26,Amit Mishra,161,161,559.0,4129,173,25.040000000000003,7.454,19.85666666666667,4,1,2023,15,6
300,Rashid Khan,109,109,432.5,2885,139,20.805714285714284,6.644285714285715,18.93285714285714,2,0,2023,7,2
301,Ravi Bishnoi,52,51,190.3,1445,53,27.3325,7.4725,21.7125,0,0,2023,4,0
231,Mitchell Marsh,37,30,84.1,686,36,22.508333333333336,7.851666666666667,16.715,2,0,2023,6,2
416,Wayne Parnell,33,33,120.1,937,35,27.094,7.867999999999999,21.302,0,0,2023,5,0
9,Adam Zampa,20,20,70.0,558,29,25.59,7.967499999999999,18.75,0,1,2023,4,2
224,Matheesha Pathirana,14,14,52.7,423,21,22.759999999999998,7.8,17.565,0,0,2023,2,0
261,Noor Ahmad,13,13,47.1,369,16,23.06,7.82,17.68,0,0,2023,1,0
233,Mitchell Santner,15,15,52.0,358,13,27.375,6.9675,23.625,0,0,2023,4,0
258,Naveen-ul-Haq,8,7,28.0,219,11,19.9,7.82,15.27,1,0,2023,1,1
