,Player,Batting_Runs_per_Season_Score,Batting_Avg_Score,Batting_SR_Score,Batting_Landmarks_Score,Batting_total_boundaries_Score,Batting_Total_rating,Bowling_Wkts_per_Season_Score,Bowling_Avg_Score,Bowling_SR_Score,Bowling_Landmarks_Score,Bowling_Econ_Score,Bowling_Total_rating,All_rounder_rating
3,Andre Russell,3,3,5,4,5,20,4,2,3,3,2,14,17
53,Ravindra Jadeja,3,4,2,2,4,15,4,3,2,3,5,17,16
64,Sunil Narine,2,1,2,3,4,12,5,4,2,3,5,19,15.5
62,Shivam Dube,4,3,4,4,3,18,1,5,5,1,1,13,15.5
49,Rashid Khan,1,1,5,1,2,10,5,5,4,2,5,21,15.5
58,Sam Curran,2,3,5,3,2,15,4,3,4,1,2,14,14.5
16,Glenn Maxwell,3,2,4,5,5,19,1,2,2,1,4,10,14.5
37,Moeen Ali,2,2,3,3,3,13,2,4,3,1,5,15,14
12,Cameron Green,5,5,5,2,2,19,3,1,1,1,3,9,14
33,Marcus Stoinis,3,3,3,4,4,17,2,2,3,1,2,10,13.5
23,Kagiso Rabada,1,1,1,1,1,5,5,5,5,3,4,22,13.5
17,Hardik Pandya,4,3,4,4,4,19,3,1,1,1,2,8,13.5
0,Abhishek Sharma,3,3,4,3,3,16,1,3,3,1,3,11,13.5
28,Liam Livingstone,3,3,5,3,3,17,1,2,3,1,2,9,13
26,Krunal Pandya,3,3,3,1,4,14,3,2,1,1,5,12,13
36,Mitchell Starc,1,1,1,1,1,5,5,5,5,2,4,21,13
9,Axar Patel,2,2,2,2,3,11,4,3,2,1,5,15,13
21,Jasprit Bumrah,1,1,1,1,1,5,5,4,3,3,5,20,12.5
47,Piyush Chawla,1,1,1,1,2,6,4,5,4,2,4,19,12.5
40,Mohit Sharma,1,1,1,1,1,5,5,4,4,3,3,19,12
24,Karn Sharma,1,1,2,1,1,6,3,5,4,2,3,17,11.5
7,Arshdeep Singh,1,1,1,1,1,5,5,4,4,3,2,18,11.5
66,Trent Boult,1,1,1,1,1,5,5,4,4,1,4,18,11.5
51,Ravi Bishnoi,1,1,1,1,1,5,5,4,3,1,5,18,11.5
11,Bhuvneshwar Kumar,1,1,1,1,1,5,5,3,2,3,5,18,11.5
8,Avesh Khan,1,1,1,1,1,5,5,4,4,1,4,18,11.5
57,Sai Kishore,1,1,1,1,1,5,2,5,5,1,4,17,11
44,Nitish Kumar Reddy,4,5,4,2,1,16,1,1,2,1,1,6,11
34,Mitchell Marsh,1,1,1,2,2,7,2,3,4,2,4,15,11
48,Rahul Chahar,1,1,1,1,1,5,4,4,3,1,5,17,11
43,Naveen-Ul-Haq,1,1,1,1,1,5,5,5,5,1,1,17,11
4,Anrich Nortje,1,1,1,1,1,5,4,5,5,1,2,17,11
15,Gerald Coetzee,1,1,1,1,1,5,5,5,5,1,1,17,11
60,Shardul Thakur,1,1,3,1,1,7,4,3,4,1,2,14,10.5
46,Pat Cummins,1,1,4,2,2,10,3,2,2,1,3,11,10.5
2,Akash Madhwal,1,1,1,1,1,5,3,4,5,3,1,16,10.5
45,Noor Ahmad,1,1,1,1,1,5,4,4,3,1,4,16,10.5
52,Ravichandran Ashwin,1,1,1,1,2,6,4,3,2,1,5,15,10.5
61,Shashank Singh,3,4,5,2,1,15,1,1,1,1,1,5,10
41,Mohsin Khan,1,1,1,1,1,5,3,4,4,1,3,15,10
22,Jaydev Unadkat,1,1,1,1,1,5,3,3,3,3,3,15,10
39,Mohammed Siraj,1,1,1,1,1,5,4,3,3,2,3,15,10
54,Reece Topley,1,1,1,1,1,5,1,5,5,1,3,15,10
19,Harshal Patel,1,1,1,1,1,5,4,2,3,3,2,14,9.5
35,Mitchell Santner,1,1,1,1,1,5,1,4,3,1,5,14,9.5
27,Kuldeep Yadav,1,1,1,1,1,5,4,2,1,3,4,14,9.5
50,Rasikh Salam,1,1,1,1,1,5,3,4,5,1,1,14,9.5
42,Mukesh Kumar,1,1,1,1,1,5,4,3,4,1,1,13,9
18,Harpreet Brar,1,1,1,1,1,5,2,3,2,1,5,13,9
68,Umesh Yadav,1,1,1,1,1,5,4,1,1,3,3,12,8.5
